-484	92	-385	-430
-483	-599	-143	-84
-483	-537	-185	131
-483	-350	-371	-302
-482	-521	-229	-114
-481	-517	-473	-27
-480	-342	-508	-120
-480	-95	-164	-531
-479	-694	-9	282
-474.3295301675603	90.91659482408556	-248.5982201352476	-505.6273985704811
-474	-510	-251	-197
-474	-447	-476	98
-470	179	-500	-403
-467	51	-241	-513
-467	250	-422	-457
-465.7090202286512	-27.999906735650484	-386.23879603892067	-437.9944601686052
-465.46861149804374	-27.86134188275807	-386.61778062291415	-437.99124066292586
-464.922673585393	-411.04441280078356	-349.9190861956632	-348.51081681963706
-464	-331	-535	-94
-463.5595922434276	213.21614164175674	-395.2288648731509	-439.3040545719323
-463.2802901718934	-368.3605184349201	-181.3471465640579	-407.8030061346059
-463	174	-23	-543
-462.5747999568008	-405.4200812953036	-1.7159964862466355	-512.629044060839
-461	117	-364	-438
-460.21428414712136	-30.66398131857062	-380.6501087631506	-436.4724030645066
-460	-260	-364	-349
-460	219	-393	-440
-459	368	-279	-497
-458.16795212754243	-224.35835530231213	-175.8214874988666	-517.0377941819183
-457.20317748832446	215.78246959031645	-392.9659920792908	-440.518584377231
-457	-553	-146	81
-457	-506	-324	-44
-456.780102150302	-551.8768884941594	-365.8578600230771	61.263781358805744
-455	259	-454	-463
-453.0437140535515	330.3615459321492	-253.90103486729248	-480.89317514659194
-449.0611817666143	-175.31796786135556	-175.97613429816064	-489.44436159637416
-449	-239	-436	-329
-448	-457	-511	-107
-446.991520098895	5.773904845125941	-193.4917210199565	-525.3999198918142
-445	-344	-382	-296
-444	275	-401	-465
-442.6212863206007	152.19555990858635	-213.32419196865817	-529.941560561541
-442	-113	-201	-478
-441	-333	-527	-296
-441	-264	-469	-340
-441	-69	-33	-538
-441	238	-557	-232
-440	-289	-359	-356
-439.44970261530983	-451.90170388861895	-292.55775294452724	-327.7192520984469
-438	10	-299	-451
-438	66	-373	-483
-437	110	-205	-543
-436	-243	-333	-441
-435	-494	-457	-262
-433.73361164471163	-345.6322594588897	-301.1436747092205	-438.9029121612161
-432	-91	-511	-400
-431	-546	-434	221
-430	-510	-204	-207
-429.2812525370415	23.476961355595307	-371.9383871168867	-446.86189264285747
-429	-432	-490	-285
-429	427	-243	-527
-428	-258	-544	43
-427.2340202459775	-430.8331605743149	-482.6966140779041	-315.63592389135334
-427	-589	-211	216
-426	5	-319	-456
-425.8220446017126	-346.41773671328406	-299.0170079802915	-427.83474587189465
-425.55678211792906	-398.4817563323063	-298.3494775350436	-451.1656305435331
-424	-539	-212	51
-424	83	-402	-423
-424	337	-337	-485
-422	153	-313	-519
-421	-427	-479	-316
-420.44214949610057	-340.6159680923044	-290.12090025284	-465.0809444108116
-419.35206748676563	-170.3397357883783	-432.9498018914983	-398.6492341512558
-419	50	-324	-463
