-522.4601483485795	-172.1951950178985	-42.37974156405107	-48.616113402020595	-296.0727406194143
-522	-253	-125	-31	-48
-522	-236	-434	208	-175
-522	-53	261	-287	-356
-521.8337116268361	-172.50081750392613	-42.44882148014149	-49.19026542412535	-295.6242571872425
-521	-171	-180	215	-277
-520	-358	185	-31	-110
-519	54	-182	12	-232
-518.674639361956	-230.53503476611007	235.80654897639886	-396.864705223377	-138.74802161910037
-518	-116	-126	5	-192
-518	-81	224	-295	-262
-517.5625321484949	-110.6764398091488	-234.04235619645613	-731.9381152556803	-597.6379325635431
-517.488892601708	-110.76168413476674	-234.05336177924005	-731.8204116516833	-597.7359285939197
-517.4677826186655	-110.76198119697321	-234.06466406787433	-731.7933960100894	-597.7702361843614
-517.4546475810309	-110.81728764504226	-233.89767097723433	-731.8968805142775	-597.7909059741047
-517	-198	-10	-298	-162
-516	-213	-71	26	-112
-516	-64	-346	-39	-228
-514	29	-382	62	-194
-512	-185	414	26	-448
-511	-339	-201	262	-145
-511	-311	-184	-58	-80
-511	-294	-493	181	-207
-510	-165	125	-323	-93
-509	-253	289	-12	-440
-509	-204	-326	-131	-99
-509	-69	-495	-22	-162
-508	-132	281	77	-426
-508	-4	-241	-15	-264
-507	-309	-16	-131	-161
-507	-206	288	-153	-392
-507	-174	-185	-22	-224
-505	-122	-405	-66	-260
-504	-176	-482	-75	35
-503	-29	-441	35	-226
-502	-281	-172	-75	-27
-502	-220	424	-37	-371
-500.2586808293638	-119.84310154828276	-392.66203955301864	-273.196723963838	-315.9538175019792
-500	-173	423	-178	-323
-500	136	-420	-74	-102
-499	-238	-496	393	-40
-498	-473	128	175	-161
-498	-262	-385	-158	-131
-498	-248	387	-45	-277
-498	-172	-262	32	-132
-498	-136	-428	-18	-29
-497.70712167305896	-192.71973684799275	-188.39234315144805	64.25378452876734	-200.72770300234515
-497	-241	298	-216	-315
-497	-224	-285	109	-229
-497	-13	-498	190	5
-496	-409	-182	273	-240
-496	-231	-183	211	-243
-496	-160	-168	41	-232
-494	-336	127	211	-305
-493	-269	261	-224	-221
-493	-234	-541	-102	3
-492.798119445353	-232.8878036254369	-123.99946709223201	-175.49450458712394	-385.33283568847264
-492.7831189786157	-212.5908740241086	-72.55905603181358	-206.62230054576455	-384.1270144081932
-492	-373	-6	85	-91
-492	-356	-315	324	-218
-492	-289	126	70	-257
-492	-284	-93	167	-341
-491	-252	-309	32	-187
-490.594743016491	-315.7709446233438	-508.6059401391591	-321.31486687951235	-160.52914433288709
-490	-191	-129	268	-307
-489	-357	1	32	-249
-488	-341	-86	74	-114
-488	-236	-130	-174	-392
-487.60776001542723	-206.2345817821692	-32.69568528499477	-516.3199347612215	-321.43139305710355
-487.1967531052517	-328.02381782523423	-175.36121159293964	-203.16404445412942	-201.46853344955326
-486.3587912087913	-125.44169719169719	171.52692307692305	-382.9097069597069	-409.9213064713065
-486	-184	-227	77	-271
-486	-71	-557	163	-27
-485.417654497801	-369.36343626241546	-211.94847206087107	-35.1165828077211	-438.9998714509801
-485	-289	-242	184	-275
-483.4928282146473	-372.34637192035103	-211.14014512318596	-35.120384745190705	-436.451299358758
-483.25237882350564	-240.03338188182408	-237.5270510062581	42.8931558187192	-230.00445668183417
-483	-250	201	-57	-430
-483	-242	-243	43	-227
-482	-221	247	-441	-252
-482	-152	-307	66	-294
-480.1938711327176	-331.9569051160111	228.82897250651038	-179.35099022414514	-409.2429973017935
-480	-396	-229	131	-78
-479	-339	-289	91	90
-479	-189	-376	94	-205
-479	-130	509	-260	-447
-476	-141	-61	-211	-249
-475	-417	-355	-48	-22
-475	-292	-287	-26	-165
-475	-157	-456	83	-228
-475	-98	-422	32	-207
-472.90430306711943	-156.00750903704113	-114.76849602710831	-494.6136011017201	-175.12175532307472
-470	-404	69	276	-308
-470	-176	-178	-457	-182
-469	-440	-101	-137	7
-469	-172	46	-541	-303
-468	-258	493	-241	-272
-467.70832353271817	-190.4288809856276	119.95187765789879	-320.98310680782487	-420.9179725581556
-466	-240	-160	-67	-241
-465	-425	-57	97	-252
-465	-360	-38	-183	166
-464	-412	-257	-81	141
-462	-231	121	-171	-460
-461.9793332896289	-352.7813360430051	-142.5412842533106	-258.6935230103579	-131.37559000917793
-460	-439	79	213	-231
-457	-252	-5	-350	-404
-457	-245	452	-54	-498
-456.52127708250805	-250.43723812997513	-2.88532429722423	-351.12310391394783	-408.46684864386464
-456	-467	42	205	-137
-456	-252	-53	-36	-254
-456	-219	-278	226	-239
-456	-199	189	-199	-447
-456	-173	23	-539	-3
-455	-460	-47	34	-175
-455	-198	451	-195	-450
-454.5417387009138	-189.45900222277106	110.07261052111633	-311.75635959496174	-409.9208446530007
